product_id,product_name,price,cogs,category_id
1,Apple AirPods 3rd Gen,199.99,78,1
2,Apple AirPods Max,549.99,231,1
3,Apple AirPods Pro,249.99,112.5,1
4,Apple AirPods Pro 2nd Gen,249.99,17.5,1
5,Apple AirPods Pro 2nd Generation,249.99,20,1
6,Apple iMac 24-Inch,1299.99,585,1
7,Apple iMac 27-Inch Retina,1799.99,324,1
8,Apple iMac Pro,4999.99,400,1
9,Apple iPad 10th Gen,449.99,135,1
10,Apple iPad 9th Gen,329.99,39.6,1
11,Apple iPad Air (5th Gen),649.99,156,1
12,Apple iPad Air (5th Gen),599.99,120,1
13,Apple iPad Pro (11-inch),799.99,232,1
14,Apple iPad Pro 12.9-inch (4th Gen),999.99,210,1
15,Apple iPad Pro 12.9-inch (5th Gen),1099.99,352,1
16,Apple iPhone 12 Mini,699.99,210,1
17,Apple iPhone 13 Mini,699.99,112,1
18,Apple iPhone 14,799.99,208,1
19,Apple iPhone 14 Pro,999.99,190,1
20,Apple MacBook Air 2020,999.99,270,1
21,Apple MacBook Air M1,999.99,220,1
22,Apple MacBook Air M2,1299.99,390,1
23,Apple MacBook Pro 13-inch (M1),1299.99,273,1
24,Apple MacBook Pro 14-inch,1999.99,320,1
25,Apple MacBook Pro 16-inch,2499.99,475,1
26,Apple MacBook Pro 16-inch (2021),2499.99,450,1
27,Apple Magic Keyboard,149.99,33,1
28,Apple Magic Keyboard with Touch ID,149.99,25.5,1
29,Apple Magic Mouse 2,79.99,19.2,1
30,Apple Magic Trackpad,129.99,52,1
31,Apple TV 4K,179.99,46.8,1
32,Apple TV 4K (2022),179.99,28.8,1
33,Apple TV HD,149.99,42,1
34,Apple Watch SE,279.99,64.4,1
35,Apple Watch SE (2022),279.99,106.4,1
36,Apple Watch Series 7,399.99,76,1
37,Apple Watch Series 8,399.99,144,1
38,Apple Watch Ultra,799.99,232,1
39,Dell XPS 13 Laptop,1199.99,456,1
40,Dell Alienware Aurora R13,2499.99,525,1
41,Dell Inspiron 15 3000,899.99,63,1
42,Dell UltraSharp U2720Q Monitor,719.99,309.6,1
43,Dell XPS 17 Laptop,2099.99,231,1
44,Dell S3221QS Curved Monitor,599.99,216,1
45,Dell G5 Gaming Desktop,1499.99,390,1
46,Dell Alienware m15 R6 Gaming Laptop,1699.99,493,1
47,Dell Inspiron 14 5000 Laptop,999.99,420,1
48,Dell UltraSharp U4021QW Monitor,1999.99,180,1
49,Dell XPS 13 Plus,1399.99,476,1
50,Dell Inspiron 14 5000,999.99,420,1
51,Dell Alienware x17 Gaming Laptop,2099.99,630,1
52,Dell XPS 15 Laptop,1799.99,324,1
53,Dell Alienware m17 R5 Gaming Laptop,1899.99,779,1
54,Samsung 65-Inch QLED TV,1299.99,494,1
55,Samsung Galaxy Tab S8,649.99,84.5,1
56,Samsung Galaxy Z Fold 4,1799.99,576,1
57,Samsung 32-Inch Odyssey G7 Monitor,699.99,301,1
58,Samsung Galaxy Buds2 Pro,249.99,20,1
59,Samsung Galaxy Note 20 Ultra,1199.99,468,1
60,Samsung Odyssey G9,1299.99,78,1
61,Samsung Galaxy Z Flip 4,999.99,250,1
62,Samsung 34-Inch Curved Monitor,399.99,116,1
63,Samsung 27-Inch 4K Monitor,499.99,80,1
64,Samsung Galaxy Watch 4,249.99,82.5,1
65,Samsung Galaxy S22 Ultra,1199.99,156,1
66,Samsung Galaxy Tab S7+,849.99,323,1
67,Samsung Galaxy Watch 5,279.99,44.8,1
68,Samsung 55-Inch Q80T QLED TV,1299.99,390,1
69,Samsung Galaxy Z Fold 5,1799.99,810,1
70,Samsung 43-Inch 4K UHD Monitor,399.99,20,1
71,Samsung 55-Inch The Frame TV,1499.99,150,1
72,Samsung Galaxy Buds Live,169.99,37.4,1
73,Samsung Galaxy Z Flip 5,999.99,400,1
74,Samsung 32-Inch Odyssey G5 Monitor,399.99,136,1
75,Samsung Galaxy Watch 5 Pro,399.99,124,1
76,Samsung 32-Inch Curved Monitor,279.99,67.2,1
77,Samsung Galaxy A52 5G,499.99,115,1
78,Samsung Galaxy S22,799.99,120,1
79,Samsung Galaxy S22 Plus,999.99,450,1
80,Samsung 49-Inch Odyssey G9 Curved Monitor,1299.99,273,1
81,Samsung 32-Inch Monitor,299.99,39,1
82,Samsung Galaxy S21 FE,699.99,259,1
83,Samsung Galaxy S20 FE,699.99,161,1
84,Samsung Galaxy Z Fold 3,1799.99,108,1
85,Samsung Galaxy S20 Ultra,1199.99,96,1
86,Samsung 32-Inch Curved UHD Monitor,329.99,125.4,1
87,Samsung Galaxy Note 20,999.99,140,1
88,Sony WH-1000XM4 Wireless Headphones,349.99,108.5,1
89,Bose QuietComfort 35 II,299.99,111,1
90,Canon EOS R5 Mirrorless Camera,3899.99,1326,1
91,Microsoft Surface Pro 8,1099.99,407,1
92,Nintendo Switch OLED Model,349.99,52.5,1
93,LG OLED C1 Series 55-Inch TV,1799.99,576,1
94,Fitbit Charge 5,149.99,33,1
95,GoPro HERO10 Black,499.99,100,1
96,Sonos One (Gen 2) Wireless Speaker,219.99,59.4,1
97,HP Spectre x360 14,1299.99,338,1
98,ASUS ROG Strix Scar 15,2299.99,460,1
99,Garmin Forerunner 945,599.99,60,1
100,DJI Mini 2 Drone,449.99,49.5,1
101,Anker PowerCore 26800 Portable Charger,79.99,16.8,1
102,Bose SoundLink Revolve+,299.99,105,1
103,Sony A7 III Mirrorless Camera,1999.99,800,1
104,Lenovo ThinkPad X1 Carbon,1399.99,238,1
105,Jabra Elite 75t Wireless Earbuds,149.99,63,1
106,Razer BlackWidow V3 Mechanical Keyboard,139.99,23.8,1
107,Logitech MX Master 3,99.99,13,1
108,Epson EcoTank ET-2760 Printer,229.99,75.9,1
109,Roku Streaming Stick 4K,49.99,9,1
110,Philips Hue White and Color Ambiance Bulbs,149.99,51,1
111,Acer Predator Helios 300,1399.99,168,1
112,TP-Link Archer AX73 Wi-Fi 6 Router,229.99,11.5,1
113,Netgear Nighthawk X6S Router,299.99,39,1
114,Microsoft Xbox Series X,499.99,25,1
115,Sony PlayStation 5,499.99,120,1
116,LG 27GN950-B UltraGear Monitor,799.99,80,1
117,Western Digital 4TB My Passport External HD,139.99,42,1
118,Corsair Vengeance LPX 16GB DDR4 RAM,79.99,16,1
119,Elgato Stream Deck XL,249.99,30,1
120,Logitech C920 HD Pro Webcam,79.99,28.8,1
121,Amazon Echo Studio,199.99,22,1
122,Sennheiser Momentum True Wireless 2,299.99,111,1
123,Huawei Watch GT 3,229.99,23,1
